,0
bpp,0.31800456963665125
duration_sec,0.1572890149048052
duration,0.13646782268540675
pps,0.10945273288736783
interarrival_time,0.10015749549779604
bps,0.03845520583229883
byte_count,0.021261153829620034
z_score-ipv4_src-ip_proto,0.020080216288930197
z_score-ipv4_src-ipv4_dst,0.01695351959927381
packet,0.015763375569909314
byte,0.014535978484490475
port_src,0.011903851938077938
cookie,0.008558725916346783
packet_count,0.007501180744020226
port_dst,0.006699709491169644
z_score-ipv4_src,0.006505809204604678
z_score-ipv4_dst,0.00650260283802638
ip_proto,0.003907034651204678
