,0
interarrival_time,3.0221983418806615
duration_sec,2.598891455356336
duration,2.598891455356336
ip_proto,0.9602200557553151
port_src,0.5237374771843949
bpp,0.09881218436798572
port_dst,0.09223582401602837
z_score-ipv4_src-ip_proto,0.01639435504249309
packet,0.011619268599679988
packet_count,0.011619268599679988
pps,0.011297666359574937
z_score-ipv4_dst,0.007834405883245021
z_score-ipv4_src,0.005343180289538618
z_score-ipv4_src-ipv4_dst,0.002510512248729335
cookie,0.0014400337014311704
byte,0.0003461814605200675
byte_count,0.0003461814605200675
bps,0.00032636136345093325
