cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
4,14,19,1661,1.3571428571428572,118.64285714285714,87.42105263157895,0.7368421052631579,35346,5050,6,14,1661,19,1.0987983707358564,0.2726812854960669,1.095269885845809,1.790097525986328,0
14,13,16,1353,1.2307692307692308,104.07692307692308,84.5625,0.8125,5050,35346,6,13,1353,16,0.8674723979493604,1.5192243049066587,1.620999431051797,1.3344363375534445,0
17,13,551,4226269,42.38461538461539,325097.6153846154,7670.179673321234,0.0235934664246823,1898,5050,6,13,4226269,551,1.0987983707358564,0.2726812854960669,1.095269885845809,1.790097525986328,0
22,12,298,19668,24.833333333333332,1639.0,66.0,0.0402684563758389,5050,1898,6,12,19668,298,0.8674723979493604,1.5192243049066587,1.620999431051797,1.3344363375534445,0
44,10,4,409,0.4,40.9,102.25,2.5,56318,80,6,10,409,4,1.0987983707358564,0.2726812854960669,1.095269885845809,1.790097525986328,0
49,10,4,676,0.4,67.6,169.0,2.5,80,56318,6,10,676,4,0.8674723979493604,1.5192243049066587,1.620999431051797,1.3344363375534445,0
104,15,18,1620,1.2,108.0,90.0,0.8333333333333334,60864,5051,6,15,1620,18,0.8674723979493604,1.5192243049066587,1.620999431051797,1.3344363375534445,0
105,15,17,1424,1.1333333333333333,94.93333333333334,83.76470588235294,0.8823529411764706,5051,60864,6,15,1424,17,1.0987983707358564,0.2726812854960669,1.095269885845809,1.790097525986328,0
114,13,12979,934488,998.3846153846154,71883.69230769231,72.0,0.0010016179983049,6271,5051,17,13,934488,12979,0.8674723979493604,1.5192243049066587,1.620999431051797,-0.7160390103945313,0
121,14,19,1678,1.3571428571428572,119.85714285714286,88.3157894736842,0.7368421052631579,53936,5051,6,14,1678,19,-0.7518094115561123,1.5192243049066587,-0.2190539771691616,-0.4882084161780895,0
122,14,16,1352,1.1428571428571428,96.57142857142856,84.5,0.875,5051,53936,6,14,1352,16,1.0987983707358564,-0.8180438564882008,-0.7447835223751499,1.790097525986328,0
129,13,13106,943632,1008.1538461538462,72587.07692307692,72.0,0.0009919121013276,5251,5051,17,13,943632,13106,-0.7518094115561123,1.5192243049066587,-0.2190539771691616,-0.4882084161780895,0
134,10,5,475,0.5,47.5,95.0,2.0,56334,80,6,10,475,5,1.0987983707358564,0.2726812854960669,1.095269885845809,1.790097525986328,0
139,10,5,742,0.5,74.2,148.4,2.0,80,56334,6,10,742,5,0.8674723979493604,1.5192243049066587,1.620999431051797,1.3344363375534445,0
168,10,5,742,0.5,74.2,148.4,2.0,80,56344,6,10,742,5,0.8674723979493604,1.5192243049066587,1.620999431051797,1.3344363375534445,0
190,13,17,1546,1.3076923076923077,118.92307692307692,90.94117647058825,0.7647058823529411,53956,5051,6,13,1546,17,-0.7518094115561123,1.5192243049066587,-0.2190539771691616,-0.4882084161780895,0
191,13,15,1286,1.1538461538461535,98.92307692307692,85.73333333333333,0.8666666666666667,5051,53956,6,13,1286,15,1.0987983707358564,-0.8180438564882008,-0.7447835223751499,1.790097525986328,0
200,13,12889,928008,991.4615384615385,71385.23076923077,72.0,0.0010086119947241,7492,5051,17,13,928008,12889,-0.7518094115561123,1.5192243049066587,-0.2190539771691616,-0.4882084161780895,0
209,14,18,1623,1.2857142857142858,115.92857142857144,90.16666666666669,0.7777777777777778,35398,5050,6,14,1623,18,1.0987983707358564,0.2726812854960669,1.095269885845809,1.790097525986328,0
218,13,16,1352,1.2307692307692308,104.0,84.5,0.8125,5050,35398,6,13,1352,16,0.8674723979493604,1.5192243049066587,1.620999431051797,1.3344363375534445,0
223,13,720,4659063,55.38461538461539,358389.46153846156,6470.920833333334,0.0180555555555555,2671,5050,6,13,4659063,720,1.0987983707358564,0.2726812854960669,1.095269885845809,1.790097525986328,0
231,13,300,19800,23.076923076923077,1523.076923076923,66.0,0.0433333333333333,5050,2671,6,13,19800,300,0.8674723979493604,1.5192243049066587,1.620999431051797,1.3344363375534445,0
232,10,5,463,0.5,46.3,92.6,2.0,56370,80,6,10,463,5,1.0987983707358564,0.2726812854960669,1.095269885845809,1.790097525986328,0
237,10,4,676,0.4,67.6,169.0,2.5,80,56370,6,10,676,4,0.8674723979493604,1.5192243049066587,1.620999431051797,1.3344363375534445,0
