cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
20,17,20,1747,1.1764705882352942,102.76470588235294,87.35,0.85,57018,5051,6,17,1747,20,-1.1067431421857197,1.787369649928835,-0.7293249574894727,-0.673890525506163,0
21,17,17,1404,1.0,82.58823529411765,82.58823529411765,1.0,5051,57018,6,17,1404,17,1.175914588572327,-0.8936848249644174,-1.1669199319831562,2.021671576518489,0
27,16,544,810560,34.0,50660.0,1490.0,0.0294117647058823,221,5051,17,16,810560,544,-1.1067431421857197,1.787369649928835,-0.7293249574894727,-0.673890525506163,0
57,16,17,1556,1.0625,97.25,91.52941176470588,0.9411764705882352,58726,5051,6,16,1556,17,-0.6917144638660746,1.787369649928835,0.1458649914978946,-0.449260350337442,0
59,16,16,1338,1.0,83.625,83.625,1.0,5051,58726,6,16,1338,16,1.175914588572327,-0.7525766947068778,-0.7293249574894727,2.021671576518489,0
69,16,543,809070,33.9375,50566.875,1490.0,0.0294659300184162,703,5051,17,16,809070,543,-0.6917144638660746,1.787369649928835,0.1458649914978946,-0.449260350337442,0
74,15,18,1621,1.2,108.06666666666666,90.05555555555556,0.8333333333333334,51276,5050,6,15,1621,18,0.5533715710928598,0.7996127381260577,1.0210549404852618,0.898520700674884,0
79,15,16,1356,1.0666666666666669,90.4,84.75,0.9375,5050,51276,6,15,1356,16,1.175914588572327,-0.0470360434191798,0.5834599659915782,1.797041401349768,0
80,15,19819,1040238131,1321.2666666666669,69349208.73333333,52486.91311367879,0.0007568494878651,7190,5050,6,15,1040238131,19819,0.5533715710928598,0.7996127381260577,1.0210549404852618,0.898520700674884,0
89,15,2614,172524,174.26666666666668,11501.6,66.0,0.0057383320581484,5050,7190,6,15,172524,2614,1.175914588572327,-0.0470360434191798,0.5834599659915782,1.797041401349768,0
90,11,7,603,0.6363636363636364,54.81818181818182,86.14285714285714,1.5714285714285714,46360,80,6,11,603,7,0.5533715710928598,0.7996127381260577,1.0210549404852618,0.898520700674884,0
93,16,17,1529,1.0625,95.5625,89.94117647058823,0.9411764705882352,39086,5051,6,16,1529,17,0.5533715710928598,1.787369649928835,0.1458649914978946,0.898520700674884,0
97,16,16,1348,1.0,84.25,84.25,1.0,5051,39086,6,16,1348,16,1.175914588572327,-0.0470360434191798,-0.7293249574894727,2.021671576518489,0
100,16,543,809070,33.9375,50566.875,1490.0,0.0294659300184162,7190,5051,17,16,809070,543,0.5533715710928598,1.787369649928835,0.1458649914978946,-0.449260350337442,0
101,10,6,816,0.6,81.6,136.0,1.6666666666666667,80,46360,6,10,816,6,1.175914588572327,-0.0470360434191798,0.5834599659915782,1.797041401349768,0
103,15,17,1558,1.1333333333333333,103.86666666666666,91.6470588235294,0.8823529411764706,45310,5050,6,15,1558,17,1.175914588572327,0.7996127381260577,1.4586499149789456,2.021671576518489,0
107,15,15,1290,1.0,86.0,86.0,1.0,5050,45310,6,15,1290,15,1.175914588572327,1.787369649928835,1.8962448894726296,1.797041401349768,0
108,15,24204,1410131045,1613.6,94008736.33333331,58260.24809948769,0.0006197322756569,8976,5050,6,15,1410131045,24204,1.175914588572327,0.7996127381260577,1.4586499149789456,2.021671576518489,0
111,15,3060,202908,204.0,13527.2,66.30980392156863,0.0049019607843137,5050,8976,6,15,202908,3060,1.175914588572327,1.787369649928835,1.8962448894726296,1.797041401349768,0
114,10,5,475,0.5,47.5,95.0,2.0,45714,80,6,10,475,5,1.175914588572327,0.7996127381260577,1.4586499149789456,2.021671576518489,0
121,10,4,676,0.4,67.6,169.0,2.5,80,45714,6,10,676,4,1.175914588572327,1.787369649928835,1.8962448894726296,1.797041401349768,0
122,15,17,1557,1.1333333333333333,103.8,91.58823529411764,0.8823529411764706,51288,5050,6,15,1557,17,0.5533715710928598,0.7996127381260577,1.0210549404852618,0.898520700674884,0
128,15,17,1421,1.1333333333333333,94.73333333333332,83.58823529411765,0.8823529411764706,5050,51288,6,15,1421,17,1.175914588572327,-0.0470360434191798,0.5834599659915782,1.797041401349768,0
129,15,25899,1360565603,1726.6,90704373.53333332,52533.518784509055,0.0005791729410401,4643,5050,6,15,1360565603,25899,0.5533715710928598,0.7996127381260577,1.0210549404852618,0.898520700674884,0
133,14,2733,180450,195.21428571428572,12889.285714285714,66.02634467618002,0.0051225759238931,5050,4643,6,14,180450,2733,1.175914588572327,-0.0470360434191798,0.5834599659915782,1.797041401349768,0
134,16,18,1613,1.125,100.8125,89.61111111111111,0.8888888888888888,39098,5051,6,16,1613,18,0.5533715710928598,1.787369649928835,0.1458649914978946,0.898520700674884,0
135,10,6,541,0.6,54.1,90.16666666666669,1.6666666666666667,46372,80,6,10,541,6,0.5533715710928598,0.7996127381260577,1.0210549404852618,0.898520700674884,0
137,16,16,1348,1.0,84.25,84.25,1.0,5051,39098,6,16,1348,16,1.175914588572327,-0.0470360434191798,-0.7293249574894727,2.021671576518489,0
139,16,544,810560,34.0,50660.0,1490.0,0.0294117647058823,4643,5051,17,16,810560,544,0.5533715710928598,1.787369649928835,0.1458649914978946,-0.449260350337442,0
142,15,18,1622,1.2,108.13333333333334,90.11111111111111,0.8333333333333334,45322,5050,6,15,1622,18,1.175914588572327,0.7996127381260577,1.4586499149789456,2.021671576518489,0
