,timestamp,capacity_used,removed_flow_average_duration,removed_flow_byte_per_packet,average_flow_duration_on_table,packet_in_mean,packet_in_std_dev,packet_in_diff_arr
0,1714798844.2099423,0.0002491777135453005,0,0,3.87489857673645,,,[]
1,1714798849.2037838,0.0002491777135453005,0,0,8.873154044151306,0.0,0.0,[0]
2,1714798854.2182102,0.0006478620552177813,0,0,8.610771989822387,4.0,4.0,[0 8]
3,1714798859.2078133,0.0006478620552177813,0,0,13.606081652641297,2.6666666666666665,3.7712361663282534,[0 8 0]
4,1714798864.1940222,0.0008970397687630818,0,0,11.971595014844622,3.25,3.418698582794336,[0 8 0 5]
5,1714798869.2056508,0.0008970397687630818,0,0,16.970319087164743,2.6,3.3226495451672298,[0 8 0 5 0]
6,1714798874.206027,0.0013455596531446227,0,0,16.780154421925545,3.6666666666666665,3.8586123009300755,[0 8 0 5 0 9]
7,1714798879.2258627,0.0013455596531446227,0,0,21.787816857298214,3.142857142857143,3.7958086444532637,[0 8 0 5 0 9 0]
8,1714798884.2043653,0.0015947373666899232,0,0,22.60248680361386,3.375,3.6033838263498934,[0 8 0 5 0 9 0 5]
9,1714798889.1941726,0.0015947373666899232,0,0,27.606093308021283,3.0,3.559026084010437,[0 8 0 5 0 9 0 5 0]
10,1714798894.2116933,0.0017940795375261636,0,0,29.352674931746265,3.1,3.3896902513356584,[0 8 0 5 0 9 0 5 0 4]
11,1714798899.225123,0.0017940795375261636,0,0,34.36872686972985,2.8181818181818183,3.3525616208337774,[0 8 0 5 0 9 0 5 0 4 0]
12,1714798904.185444,0.0018439150802352239,0,0,38.232845477203824,2.6666666666666665,3.2489314482696545,[0 8 0 5 0 9 0 5 0 4 0 1]
13,1714798909.2143579,0.0018439150802352239,0,0,43.255874690724845,2.4615384615384617,3.2013310841053557,[0 8 0 5 0 9 0 5 0 4 0 1 0]
14,1714798914.2337282,0.0018439150802352239,0,0,48.25827029569825,2.2857142857142856,3.1493439550069438,[0 8 0 5 0 9 0 5 0 4 0 1 0 0]
15,1714798919.2548997,0.0018439150802352239,0,0,53.26340351175906,2.1333333333333333,3.095516470998373,[0 8 0 5 0 9 0 5 0 4 0 1 0 0 0]
16,1714798924.2242033,0.0018439150802352239,0,0,58.24863165172178,2.0,3.0413812651491097,[0 8 0 5 0 9 0 5 0 4 0 1 0 0 0 0]
17,1714798929.2187726,0.0018439150802352239,0,0,63.24712025585459,1.8823529411764706,2.9878647292235985,[0 8 0 5 0 9 0 5 0 4 0 1 0 0 0 0 0]
18,1714798934.2258234,0.0018439150802352239,0,0,68.25874785167068,1.7777777777777777,2.9355210696939795,[0 8 0 5 0 9 0 5 0 4 0 1 0 0 0 0 0 0]
19,1714798939.217573,0.0018439150802352239,0,0,73.25097888619152,1.6842105263157894,2.884671496009415,[0 8 0 5 0 9 0 5 0 4 0 1 0 0 0 0 0 0 0]
