,timestamp,capacity_used,removed_flow_average_duration,removed_flow_byte_per_packet,average_flow_duration_on_table,packet_in_mean,packet_in_std_dev,packet_in_diff_arr
0,1714798844.2808542,0.0002491777135453005,0,0,3.9596731901168822,,,[]
1,1714798849.274826,0.0002491777135453005,0,0,8.94973328113556,0.0,0.0,[0]
2,1714798854.2731836,0.0003488487989634207,0,0,8.679290521144868,1.0,1.0,[0 2]
3,1714798859.2797608,0.0003488487989634207,0,0,13.682095551490784,0.6666666666666666,0.9428090415820634,[0 2 0]
4,1714798864.3132536,0.0008472042260540217,0,0,12.063390445709228,3.0,4.123105625617661,[ 0  2  0 10]
5,1714798869.306601,0.0008472042260540217,0,0,17.082460696356637,2.4,3.8781438859330635,[ 0  2  0 10  0]
6,1714798874.2748885,0.0010465463968902622,0,0,16.85891238351663,2.6666666666666665,3.590109871423003,[ 0  2  0 10  0  4]
7,1714798879.290039,0.0010465463968902622,0,0,21.87395776808262,2.2857142857142856,3.4522988495984497,[ 0  2  0 10  0  4  0]
8,1714798884.3014946,0.0012957241104355627,0,0,22.702003618766522,2.625,3.3517719194479807,[ 0  2  0 10  0  4  0  5]
9,1714798889.2645638,0.0012957241104355627,0,0,27.678063577619092,2.3333333333333335,3.2659863237109037,[ 0  2  0 10  0  4  0  5  0]
10,1714798894.2621953,0.001445230738562743,0,0,29.412981737577,2.4,3.104834939252005,[ 0  2  0 10  0  4  0  5  0  3]
11,1714798899.272226,0.001445230738562743,0,0,34.42158714074355,2.1818181818181817,3.0396824540546343,[ 0  2  0 10  0  4  0  5  0  3  0]
12,1714798904.2227952,0.0014950662812718031,0,0,38.27039348545359,2.0833333333333335,2.9285472318009296,[ 0  2  0 10  0  4  0  5  0  3  0  1]
13,1714798909.3321052,0.0014950662812718031,0,0,43.37493452029442,1.9230769230769231,2.86790028958573,[ 0  2  0 10  0  4  0  5  0  3  0  1  0]
14,1714798914.2857356,0.0014950662812718031,0,0,48.32945204492825,1.7857142857142858,2.807606286719078,[ 0  2  0 10  0  4  0  5  0  3  0  1  0  0]
15,1714798919.4461899,0.0014950662812718031,0,0,53.48801818890358,1.6666666666666667,2.7487370837451066,[ 0  2  0 10  0  4  0  5  0  3  0  1  0  0  0]
16,1714798924.2996838,0.0014950662812718031,0,0,58.34629250284451,1.5625,2.6918569334197535,[ 0  2  0 10  0  4  0  5  0  3  0  1  0  0  0  0]
17,1714798929.3268692,0.0014950662812718031,0,0,63.370472011281485,1.4705882352941178,2.637236678995282,[ 0  2  0 10  0  4  0  5  0  3  0  1  0  0  0  0  0]
18,1714798934.3038704,0.0014950662812718031,0,0,68.35048728914403,1.3888888888888888,2.5849755831404093,[ 0  2  0 10  0  4  0  5  0  3  0  1  0  0  0  0  0  0]
19,1714798939.3132882,0.0014950662812718031,0,0,73.35650787424686,1.3157894736842106,2.535072542903641,[ 0  2  0 10  0  4  0  5  0  3  0  1  0  0  0  0  0  0  0]
