,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto
0,5,96,11,704,0.11458333333333333,7.333333333333333,64.0,8.727272727272727,36615,80,6,96,704,11,1.0,1.0,1.0,1.0
1,9,96,11,704,0.11458333333333333,7.333333333333333,64.0,8.727272727272727,63151,80,6,96,704,11,1.0,1.0,1.0,1.0
2,10,96,11,594,0.11458333333333333,6.1875,54.0,8.727272727272727,80,36615,6,96,594,11,-1.0,-1.0,-1.0,-1.0
3,15,95,11,704,0.11578947368421053,7.410526315789474,64.0,8.636363636363637,33893,80,6,95,704,11,1.0,1.0,1.0,1.0
4,16,95,11,594,0.11578947368421053,6.252631578947368,54.0,8.636363636363637,80,63151,6,95,594,11,-1.0,-1.0,-1.0,-1.0
5,20,95,11,704,0.11578947368421053,7.410526315789474,64.0,8.636363636363637,57325,80,6,95,704,11,1.0,1.0,1.0,1.0
6,23,95,11,594,0.11578947368421053,6.252631578947368,54.0,8.636363636363637,80,33893,6,95,594,11,-1.0,-1.0,-1.0,-1.0
7,26,95,11,594,0.11578947368421053,6.252631578947368,54.0,8.636363636363637,80,57325,6,95,594,11,-1.0,-1.0,-1.0,-1.0
8,29,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,39368,80,6,90,640,10,1.0,1.0,1.0,1.0
9,33,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,7987,80,6,90,640,10,1.0,1.0,1.0,1.0
10,34,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,39368,6,90,540,10,-1.0,-1.0,-1.0,-1.0
11,40,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,13278,80,6,90,640,10,1.0,1.0,1.0,1.0
12,41,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,33161,80,6,90,640,10,1.0,1.0,1.0,1.0
13,42,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,7987,6,90,540,10,-1.0,-1.0,-1.0,-1.0
14,48,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,13278,6,90,540,10,-1.0,-1.0,-1.0,-1.0
15,49,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,33161,6,90,540,10,-1.0,-1.0,-1.0,-1.0
16,53,84,9,576,0.10714285714285714,6.857142857142857,64.0,9.333333333333334,2856,80,6,84,576,9,1.0,1.0,1.0,1.0
17,655,18,1,64,0.05555555555555555,3.5555555555555554,64.0,18.0,36615,80,6,18,64,1,1.0,1.0,1.0,1.0
18,656,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,63151,80,6,19,64,1,1.0,1.0,1.0,1.0
19,657,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,33893,80,6,19,64,1,1.0,1.0,1.0,1.0
20,658,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,57325,80,6,19,64,1,1.0,1.0,1.0,1.0
21,659,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,39368,80,6,19,64,1,1.0,1.0,1.0,1.0
22,660,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,7987,80,6,19,64,1,1.0,1.0,1.0,1.0
23,661,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,13278,80,6,19,64,1,1.0,1.0,1.0,1.0
24,662,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,33161,80,6,19,64,1,1.0,1.0,1.0,1.0
25,666,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,2856,80,6,19,64,1,1.0,1.0,1.0,1.0
26,667,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,49380,80,6,19,64,1,1.0,1.0,1.0,1.0
27,668,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,9404,80,6,19,64,1,1.0,1.0,1.0,1.0
28,669,20,1,64,0.05,3.2,64.0,20.0,56980,80,6,20,64,1,1.0,1.0,1.0,1.0
29,670,20,1,64,0.05,3.2,64.0,20.0,56620,80,6,20,64,1,1.0,1.0,1.0,1.0
30,671,20,1,64,0.05,3.2,64.0,20.0,37240,80,6,20,64,1,1.0,1.0,1.0,1.0
