Unnamed: 0,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto,is_attack
7,28,10,4,676,0.4,67.6,169.0,2.5,80,35546,6,10,676,4,2.5227442221905942,-0.4068942293855797,-0.6488856845230501,3.3993463423951895,0
8,36,10,6,541,0.6,54.1,90.16666666666669,1.6666666666666667,43890,80,6,10,541,6,-0.4068942293855797,2.5227442221905942,0.8111071056538127,0.0,0
9,37,10,4,676,0.4,67.6,169.0,2.5,80,43890,6,10,676,4,2.5227442221905942,-0.4068942293855797,0.8111071056538127,3.3993463423951895,0
10,40,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,0.2441365376313478,-0.4068942293855797,-0.6488856845230501,0.0,0
11,43,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,-0.4068942293855797,0.2441365376313478,-0.6488856845230501,-0.4249182927993987,0
12,44,10,5,475,0.5,47.5,95.0,2.0,36296,80,6,10,475,5,0.2441365376313478,2.5227442221905942,0.8111071056538127,0.0,0
13,45,10,5,742,0.5,74.2,148.4,2.0,80,36296,6,10,742,5,2.5227442221905942,0.2441365376313478,0.8111071056538127,3.3993463423951895,0
14,48,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.0813788458771159,2.5227442221905942,2.2710998958306754,-0.4249182927993987,0
15,49,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,2.5227442221905942,-0.0813788458771159,2.2710998958306754,-0.4249182927993987,0
16,57,10,6,553,0.6,55.3,92.16666666666669,1.6666666666666667,50964,80,6,10,553,6,-0.0813788458771159,2.5227442221905942,2.2710998958306754,0.0,0
17,59,10,6,816,0.6,81.6,136.0,1.6666666666666667,80,50964,6,10,816,6,2.5227442221905942,-0.0813788458771159,2.2710998958306754,3.3993463423951895,0
18,67,10,5,463,0.5,46.3,92.6,2.0,40034,80,6,10,463,5,-0.4068942293855797,2.5227442221905942,-0.6488856845230501,-0.4249182927993987,0
19,68,10,4,676,0.4,67.6,169.0,2.5,80,40034,6,10,676,4,2.5227442221905942,-0.4068942293855797,-0.6488856845230501,3.3993463423951895,0
20,89,10,4,409,0.4,40.9,102.25,2.5,48272,80,6,10,409,4,-0.7324096128940435,2.5227442221905942,-0.6488856845230501,-0.4249182927993987,0
21,90,10,4,676,0.4,67.6,169.0,2.5,80,48272,6,10,676,4,2.5227442221905942,-0.7324096128940435,-0.6488856845230501,3.3993463423951895,0
22,107,10,7,627,0.7,62.7,89.57142857142857,1.4285714285714286,50972,80,6,10,627,7,-0.0813788458771159,2.5227442221905942,2.2710998958306754,0.0,0
23,109,10,5,742,0.5,74.2,148.4,2.0,80,50972,6,10,742,5,2.5227442221905942,-0.0813788458771159,2.2710998958306754,3.3993463423951895,0
24,115,10,4,409,0.4,40.9,102.25,2.5,33140,80,6,10,409,4,-0.7324096128940435,2.5227442221905942,-0.6488856845230501,-0.4249182927993987,0
25,116,10,4,676,0.4,67.6,169.0,2.5,80,33140,6,10,676,4,2.5227442221905942,-0.7324096128940435,-0.6488856845230501,3.3993463423951895,0
0,5,96,11,704,0.1145833333333333,7.333333333333333,64.0,8.727272727272727,36615,80,6,96,704,11,1.0,1.0,1.0,1.0,1
1,9,96,11,704,0.1145833333333333,7.333333333333333,64.0,8.727272727272727,63151,80,6,96,704,11,1.0,1.0,1.0,1.0,1
2,10,96,11,594,0.1145833333333333,6.1875,54.0,8.727272727272727,80,36615,6,96,594,11,-1.0,-1.0,-1.0,-1.0,1
3,15,95,11,704,0.1157894736842105,7.410526315789474,64.0,8.636363636363637,33893,80,6,95,704,11,1.0,1.0,1.0,1.0,1
4,16,95,11,594,0.1157894736842105,6.252631578947368,54.0,8.636363636363637,80,63151,6,95,594,11,-1.0,-1.0,-1.0,-1.0,1
5,20,95,11,704,0.1157894736842105,7.410526315789474,64.0,8.636363636363637,57325,80,6,95,704,11,1.0,1.0,1.0,1.0,1
6,23,95,11,594,0.1157894736842105,6.252631578947368,54.0,8.636363636363637,80,33893,6,95,594,11,-1.0,-1.0,-1.0,-1.0,1
7,26,95,11,594,0.1157894736842105,6.252631578947368,54.0,8.636363636363637,80,57325,6,95,594,11,-1.0,-1.0,-1.0,-1.0,1
8,29,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,39368,80,6,90,640,10,1.0,1.0,1.0,1.0,1
9,33,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,7987,80,6,90,640,10,1.0,1.0,1.0,1.0,1
10,34,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,39368,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
11,40,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,13278,80,6,90,640,10,1.0,1.0,1.0,1.0,1
12,41,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,33161,80,6,90,640,10,1.0,1.0,1.0,1.0,1
13,42,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,7987,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
14,48,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,13278,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
15,49,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,33161,6,90,540,10,-1.0,-1.0,-1.0,-1.0,1
16,53,84,9,576,0.1071428571428571,6.857142857142857,64.0,9.333333333333334,2856,80,6,84,576,9,1.0,1.0,1.0,1.0,1
17,655,18,1,64,0.0555555555555555,3.5555555555555554,64.0,18.0,36615,80,6,18,64,1,1.0,1.0,1.0,1.0,1
18,656,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,63151,80,6,19,64,1,1.0,1.0,1.0,1.0,1
19,657,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,33893,80,6,19,64,1,1.0,1.0,1.0,1.0,1
20,658,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,57325,80,6,19,64,1,1.0,1.0,1.0,1.0,1
21,659,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,39368,80,6,19,64,1,1.0,1.0,1.0,1.0,1
22,660,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,7987,80,6,19,64,1,1.0,1.0,1.0,1.0,1
23,661,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,13278,80,6,19,64,1,1.0,1.0,1.0,1.0,1
24,662,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,33161,80,6,19,64,1,1.0,1.0,1.0,1.0,1
25,666,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,2856,80,6,19,64,1,1.0,1.0,1.0,1.0,1
26,667,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,49380,80,6,19,64,1,1.0,1.0,1.0,1.0,1
27,668,19,1,64,0.0526315789473684,3.3684210526315788,64.0,19.0,9404,80,6,19,64,1,1.0,1.0,1.0,1.0,1
28,669,20,1,64,0.05,3.2,64.0,20.0,56980,80,6,20,64,1,1.0,1.0,1.0,1.0,1
29,670,20,1,64,0.05,3.2,64.0,20.0,56620,80,6,20,64,1,1.0,1.0,1.0,1.0,1
30,671,20,1,64,0.05,3.2,64.0,20.0,37240,80,6,20,64,1,1.0,1.0,1.0,1.0,1
0,7,10,5,475,0.5,47.5,95.0,2.0,43884,80,6,10,475,5,-0.0539949247156038,2.4805651256555197,1.0475698532329942,0.1203858530857691,0
1,10,10,5,742,0.5,74.2,148.4,2.0,80,43884,6,10,742,5,2.537761461633383,-0.0527779813969259,1.0475698532329942,3.4911897394873064,0
2,13,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,-0.4859543224404349,-0.4750018325723336,-0.4834937784152283,0.1203858530857691,0
3,18,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,-0.4859543224404349,-0.0527779813969259,-0.4834937784152283,-0.4414147946478204,0
4,22,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.0539949247156038,-0.0527779813969259,-0.4834937784152283,0.1203858530857691,0
5,25,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,-0.0539949247156038,-0.0527779813969259,-0.4834937784152283,-0.4414147946478204,0
6,26,10,6,541,0.6,54.1,90.16666666666669,1.6666666666666667,35546,80,6,10,541,6,-0.0539949247156038,2.4805651256555197,-0.4834937784152283,-0.4414147946478204,0
7,29,10,4,676,0.4,67.6,169.0,2.5,80,35546,6,10,676,4,2.537761461633383,-0.0527779813969259,-0.4834937784152283,3.4911897394873064,0
8,35,10,6,541,0.6,54.1,90.16666666666669,1.6666666666666667,43890,80,6,10,541,6,-0.0539949247156038,2.4805651256555197,1.0475698532329942,0.1203858530857691,0
9,38,10,4,676,0.4,67.6,169.0,2.5,80,43890,6,10,676,4,2.537761461633383,-0.0527779813969259,1.0475698532329942,3.4911897394873064,0
10,41,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,-0.4859543224404349,-0.0527779813969259,-0.4834937784152283,0.1203858530857691,0
11,42,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,-0.0539949247156038,-0.0527779813969259,-0.4834937784152283,0.1203858530857691,0
12,47,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,8,0,1,11,98,1,-0.0539949247156038,2.4805651256555197,2.578633484881217,-0.4414147946478204,0
13,50,11,1,98,0.0909090909090909,8.909090909090908,98.0,11.0,0,0,1,11,98,1,2.537761461633383,-0.0527779813969259,2.578633484881217,-0.4414147946478204,0
