,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto
0,4,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,8,0,1,11,98,1,2.3734621626590555,-0.4992516832922943,-0.350389554363155,-0.4457306925551046
1,5,11,1,98,0.09090909090909091,8.909090909090908,98.0,11.0,0,0,1,11,98,1,-0.44782304955831226,0.619072087282445,-0.350389554363155,-0.2995894818812998
2,6,85,10,640,0.11764705882352941,7.529411764705882,64.0,8.5,30636,80,6,85,640,10,2.3734621626590555,2.2266625074836326,3.7268707145899214,2.9155171529424058
3,8,85,10,640,0.11764705882352941,7.529411764705882,64.0,8.5,31616,80,6,85,640,10,2.3734621626590555,2.2266625074836326,3.7268707145899214,2.9155171529424058
4,10,85,11,704,0.12941176470588237,8.282352941176471,64.0,7.7272727272727275,18917,80,6,85,704,11,2.3734621626590555,2.2266625074836326,3.7268707145899214,2.9155171529424058
5,12,85,10,540,0.11764705882352941,6.352941176470588,54.0,8.5,80,30636,6,85,540,10,0.17912921982332497,0.619072087282445,0.7708570195989409,0.3580459661508218
6,13,96,11,704,0.11458333333333333,7.333333333333333,64.0,8.727272727272727,21155,80,6,96,704,11,2.3734621626590555,2.2266625074836326,3.7268707145899214,2.9155171529424058
7,17,85,10,540,0.11764705882352941,6.352941176470588,54.0,8.5,80,31616,6,85,540,10,0.17912921982332497,0.619072087282445,0.7708570195989409,0.3580459661508218
8,20,85,10,540,0.11764705882352941,6.352941176470588,54.0,8.5,80,18917,6,85,540,10,0.17912921982332497,0.619072087282445,0.7708570195989409,0.3580459661508218
9,21,95,11,594,0.11578947368421053,6.252631578947368,54.0,8.636363636363637,80,21155,6,95,594,11,0.17912921982332497,0.619072087282445,0.7708570195989409,0.3580459661508218
10,24,10,1,98,0.1,9.8,98.0,10.0,8,0,1,10,98,1,-0.38512782262014855,-0.4992516832922943,-0.350389554363155,-0.4457306925551046
11,25,10,1,98,0.1,9.8,98.0,10.0,0,0,1,10,98,1,-0.44782304955831226,-0.4293564476313731,-0.350389554363155,-0.2995894818812998
12,30,10,5,463,0.5,46.3,92.6,2.0,55420,80,6,10,463,5,-0.38512782262014855,0.619072087282445,-0.14652654091550119,-0.2995894818812998
13,31,10,4,676,0.4,67.6,169.0,2.5,80,55420,6,10,676,4,2.3734621626590555,-0.4293564476313731,-0.14652654091550119,2.9155171529424058
14,37,10,5,475,0.5,47.5,95.0,2.0,55422,80,6,10,475,5,-0.38512782262014855,0.619072087282445,-0.14652654091550119,-0.2995894818812998
15,38,10,4,676,0.4,67.6,169.0,2.5,80,55422,6,10,676,4,2.3734621626590555,-0.4293564476313731,-0.14652654091550119,2.9155171529424058
16,41,91,10,640,0.10989010989010989,7.032967032967033,64.0,9.1,9705,80,6,91,640,10,2.3734621626590555,2.2266625074836326,3.7268707145899214,2.9155171529424058
17,44,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,9705,6,90,540,10,0.17912921982332497,0.619072087282445,0.7708570195989409,0.3580459661508218
18,45,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,38970,80,6,90,640,10,2.3734621626590555,2.2266625074836326,3.7268707145899214,2.9155171529424058
19,47,80,9,576,0.1125,7.2,64.0,8.88888888888889,48893,80,6,80,576,9,2.3734621626590555,2.2266625074836326,3.7268707145899214,2.9155171529424058
