,cookie,duration,packet,byte,pps,bps,bpp,interarrival_time,port_src,port_dst,ip_proto,duration_sec,byte_count,packet_count,z_score-ipv4_src,z_score-ipv4_dst,z_score-ipv4_src-ipv4_dst,z_score-ipv4_src-ip_proto
0,4,96,11,704,0.11458333333333333,7.333333333333333,64.0,8.727272727272727,36615,80,6,96,704,11,1.0,1.0,1.0,1.0
1,7,96,11,704,0.11458333333333333,7.333333333333333,64.0,8.727272727272727,63151,80,6,96,704,11,1.0,1.0,1.0,1.0
2,12,95,11,594,0.11578947368421053,6.252631578947368,54.0,8.636363636363637,80,36615,6,95,594,11,-1.0,-1.0,-1.0,-1.0
3,14,95,11,704,0.11578947368421053,7.410526315789474,64.0,8.636363636363637,33893,80,6,95,704,11,1.0,1.0,1.0,1.0
4,17,95,11,704,0.11578947368421053,7.410526315789474,64.0,8.636363636363637,57325,80,6,95,704,11,1.0,1.0,1.0,1.0
5,18,95,11,594,0.11578947368421053,6.252631578947368,54.0,8.636363636363637,80,63151,6,95,594,11,-1.0,-1.0,-1.0,-1.0
6,25,95,11,594,0.11578947368421053,6.252631578947368,54.0,8.636363636363637,80,33893,6,95,594,11,-1.0,-1.0,-1.0,-1.0
7,27,95,11,594,0.11578947368421053,6.252631578947368,54.0,8.636363636363637,80,57325,6,95,594,11,-1.0,-1.0,-1.0,-1.0
8,28,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,39368,80,6,90,640,10,1.0,1.0,1.0,1.0
9,31,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,7987,80,6,90,640,10,1.0,1.0,1.0,1.0
10,36,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,13278,80,6,90,640,10,1.0,1.0,1.0,1.0
11,37,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,39368,6,90,540,10,-1.0,-1.0,-1.0,-1.0
12,38,90,10,640,0.1111111111111111,7.111111111111111,64.0,9.0,33161,80,6,90,640,10,1.0,1.0,1.0,1.0
13,45,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,7987,6,90,540,10,-1.0,-1.0,-1.0,-1.0
14,50,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,13278,6,90,540,10,-1.0,-1.0,-1.0,-1.0
15,51,90,10,540,0.1111111111111111,6.0,54.0,9.0,80,33161,6,90,540,10,-1.0,-1.0,-1.0,-1.0
16,52,84,9,576,0.10714285714285714,6.857142857142857,64.0,9.333333333333334,2856,80,6,84,576,9,1.0,1.0,1.0,1.0
17,637,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,36615,80,6,19,64,1,1.0,1.0,1.0,1.0
18,638,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,63151,80,6,19,64,1,1.0,1.0,1.0,1.0
19,639,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,33893,80,6,19,64,1,1.0,1.0,1.0,1.0
20,640,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,57325,80,6,19,64,1,1.0,1.0,1.0,1.0
21,641,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,39368,80,6,19,64,1,1.0,1.0,1.0,1.0
22,642,19,1,64,0.05263157894736842,3.3684210526315788,64.0,19.0,7987,80,6,19,64,1,1.0,1.0,1.0,1.0
23,643,20,1,64,0.05,3.2,64.0,20.0,13278,80,6,20,64,1,1.0,1.0,1.0,1.0
24,644,20,1,64,0.05,3.2,64.0,20.0,33161,80,6,20,64,1,1.0,1.0,1.0,1.0
25,645,20,1,64,0.05,3.2,64.0,20.0,2856,80,6,20,64,1,1.0,1.0,1.0,1.0
26,646,20,1,64,0.05,3.2,64.0,20.0,49380,80,6,20,64,1,1.0,1.0,1.0,1.0
27,647,20,1,64,0.05,3.2,64.0,20.0,9404,80,6,20,64,1,1.0,1.0,1.0,1.0
28,648,20,1,64,0.05,3.2,64.0,20.0,56980,80,6,20,64,1,1.0,1.0,1.0,1.0
29,649,20,1,64,0.05,3.2,64.0,20.0,56620,80,6,20,64,1,1.0,1.0,1.0,1.0
30,650,20,1,64,0.05,3.2,64.0,20.0,37240,80,6,20,64,1,1.0,1.0,1.0,1.0
31,963,20,1,64,0.05,3.2,64.0,20.0,5546,80,6,20,64,1,1.0,1.0,1.0,1.0
